,author,title,description,url,content,source
12,Josh Rubin,PlugBug Travel 120 With Find My,"Reduce clutter and increase convenience with Twelve South’s PlugBug 120W Travel power supply. Four USB C ports can support any device, including your laptop, simultaneously. It’s the first power supply with Apple …",http://coolhunting.com/buy/plugbug-travel-120-with-find-my/,"Teenage EngineeringBilled as “the world’s first medieval electronic instrument” Teenage Engineering’s EP-1320 gets a second edition featuring a new livery with play ready instruments, phrases, sample… [+776 chars]",2024-12-04T05:15:00Z
13,Dennis Schirrmacher,Supply-Chain-Attacke: Solana web3.js-Bibliothek war mit Schadcode verseucht,Unbekannte Angreifer haben Solanas JavaScript-SDK mit Schadcode zum Stehlen von privaten Schlüsseln ausgestattet.,https://www.heise.de/news/Supply-Chain-Attacke-Solana-web3-js-Bibliothek-war-mit-Schadcode-verseucht-10190374.html,"Wer jüngst das JavaScript SDK web3.js von Solana aus dem Paketmanager npm heruntergeladen hat, hat sich unter Umständen Schadcode eingefangen. Der Ursprung ist wahrscheinlich eine Phishing-Attacke au… [+1416 chars]",2024-12-06T08:37:00Z
14,Eduardo Baptista and Heekyong Yang,Chinese chip firms say they can withstand new US export curbs,Chinese chip companies targeted by Washington with fresh export controls have vowed to speed up supply chain localisation and said they would be able to...,https://ca.finance.yahoo.com/news/chinese-chip-firms-withstand-us-073606233.html,"By Eduardo Baptista and Heekyong Yang
BEIJING/SEOUL (Reuters) - Chinese chip companies targeted by Washington with fresh export controls have vowed to speed up supply chain localisation and said the… [+3913 chars]",2024-12-03T07:36:06Z
15,Kyle Barr,Leaks Show Samsung Galaxy S25 Ultra Looking a Lot Like an iPhone,"The Samsung Galaxy S25 features flat sides and rounded corners, just like the Pixel 9, and just like the iPhone.",https://gizmodo.com/leaks-show-samsung-galaxy-s25-ultra-looking-a-lot-like-an-iphone-2000527575,"The Samsung Galaxy S24 Ultra has a very distinct look, featuring squared corners and rounded sides, but leaks show the sequel phone might have a more standardized design. Images showing dummy units f… [+3169 chars]",2024-11-21T15:12:25Z
16,Simon Sharwood,Supply chain management vendor Blue Yonder succumbs to ransomware,"And it looks like major UK retailers that rely on it are feeling the pinch
US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.…",https://www.theregister.com/2024/11/26/blue_yonder_ransomware/,"US-based supply chain SaaS vendor Blue Yonder has revealed a service disruption caused by ransomware, and its customers are reportedly struggling to get goods onto shelves as a result.
The vendor la… [+2109 chars]",2024-11-26T01:27:10Z
17,Connor Jones,OpenWrt orders router firmware updates after supply chain attack scare,"A couple of bugs lead to a potentially bad time
OpenWrt users should upgrade their images to the same version to protect themselves from a possible supply chain attack reported to the open source Wi-Fi router project last week.…<!--#include virtual='/data_cen…",https://www.theregister.com/2024/12/09/openwrt_firmware_vulnerabilities/,"OpenWrt users should upgrade their images to the same version to protect themselves from a possible supply chain attack reported to the open source Wi-Fi router project last week.
Paul Spooren, deve… [+2783 chars]",2024-12-09T14:04:12Z
18,news@appleinsider.com (Wesley Hilliard),Supply chain hints at two potential Apple product releases set for 2026,"An Apple supplier may have been tapped to build an Apple-designed smart home camera and future health-focused AirPods, according to analyst Ming-Chi Kuo.Tapo smart cameras compatible with Apple HomeKitAfter Apple abandoned the decade-long Apple Car project, r…",https://appleinsider.com/articles/24/11/12/supply-chain-hints-at-two-potential-apple-product-releases-set-for-2026,"An Apple supplier may have been tapped to build an Apple-designed smart home camera and future health-focused AirPods, according to analyst Ming-Chi Kuo.
After Apple abandoned the decade-long Apple … [+2532 chars]",2024-11-12T04:02:53Z
19,news@appleinsider.com (William Gallagher),Supply chain report says iPhone SE 4 will launch in March 2025,"Analysts from Barclays bank claim to have confirmed that the iPhone SE 4 will in March 2025 as previously expected.An iPhone 14, the design of which the iPhone SE 4 could be based on. The prediction of a March date is far from new. However, this time Barclays…",https://appleinsider.com/articles/24/11/20/supply-chain-report-says-iphone-se-4-will-launch-in-march-2025,"Analysts from Barclays bank claim to have confirmed that the iPhone SE 4 will in March 2025 as previously expected.
The prediction of a March date is far from new. However, this time Barclays is cla… [+998 chars]",2024-11-20T11:35:19Z
20,news@appleinsider.com (Malcolm Owen),Tim Cook heads to China for supply chain talks with premier,"Apple CEO Tim Cook has returned to China for discussions with premier Li Qiang, in discussions to aid both the global supply chain and the Chinese economy.Apple CEO Tim Cook - Image credit: AppleApple's leadership frequently makes visits to China and other re…",https://appleinsider.com/articles/24/11/25/tim-cook-heads-to-china-for-supply-chain-pow-wow-with-premier,"Apple CEO Tim Cook has returned to China for discussions with premier Li Qiang, in discussions to aid both the global supply chain and the Chinese economy. 
Apple's leadership frequently makes visit… [+1995 chars]",2024-11-25T14:24:10Z
21,Hartley Charlton,Apple Vision Pro 2 With M5 Chip May Not Launch Until 2026,"Apple's second-generation Vision Pro headset with the M5 chip could launch as late as 2026, according to Bloomberg's Mark Gurman.





In the latest edition of his ""Power On"" newsletter, Gurman said that the second-generation Vision Pro headset will focus on …",https://www.macrumors.com/2024/11/11/vision-pro-2-with-m5-may-not-launch-until-2026/,"Apple's second-generation Vision Pro headset with the M5 chip could launch as late as 2026, according to Bloomberg's Mark Gurman.
In the latest edition of his ""Power On"" newsletter, Gurman said that… [+1166 chars]",2024-11-11T12:03:40Z
22,Tim Hardwick,"TSMC 2nm Chip Production Hits 60% Yield, on Track for iPhone 18 Pro","TSMC has achieved better-than-expected results in trial production of its 2-nanometer chip technology, with yield rates exceeding 60%, according to Taiwanese supply chain sources (via Liberty Times Net). The news suggests the company is well-positioned to beg…",https://www.macrumors.com/2024/12/06/tsmc-2nm-chip-production-on-track-iphone-18-pro/,"TSMC has achieved better-than-expected results in trial production of its 2-nanometer chip technology, with yield rates exceeding 60%, according to Taiwanese supply chain sources (via Liberty Times N… [+1671 chars]",2024-12-06T13:55:23Z
23,Joe Rossignol,Apple Again Rumored to Launch Smart Home Camera Alongside HomePod With Display,"Apple supply chain analyst Ming-Chi Kuo today again said that Apple plans to release its own HomeKit-enabled wireless smart home camera in 2026.



Logitech Circle View camera

In a blog post about Apple's smart home plans, Kuo said the camera will have tight…",https://www.macrumors.com/2024/12/04/apple-smart-home-camera-rumor/,"Apple supply chain analyst Ming-Chi Kuo today again said that Apple plans to release its own HomeKit-enabled wireless smart home camera in 2026.
In a blog post about Apple's smart home plans, Kuo sa… [+1706 chars]",2024-12-04T15:41:17Z
24,Pete Syme,CEO says his airline's all-Airbus fleet is a 'better alternative' as rivals struggle with Boeing blues and engine issues,"EasyJet delivered a record-breaking summer, bucking the broader trend of stuttering growth among European budget airline rivals.",https://www.businessinsider.com/easyjet-posts-record-profits-avoids-boeing-blues-and-engine-issues-2024-11,"An easyJet Airbus A320.Joan Valls/Urbanandsport/NurPhoto via Getty Images
<ul><li>European budget airline giant EasyJet reported a record-breaking summer for profits on Wednesday.</li><li>Its CEO to… [+2556 chars]",2024-11-27T10:50:57Z
25,Chance Miller,iPhone SE 4 is coming soon; here are the latest rumors,"Apple is reportedly set to launch the iPhone SE 4 in just a few short months. The update will bring a dramatic overhaul to Apple’s most affordable iPhone. 



A new supply chain report this week has some additional details on what to expect from the iPhone SE…",https://9to5mac.com/2024/12/09/iphone-se-4-camera-rumors/,"Apple is reportedly set to launch the iPhone SE 4 in just a few short months. The update will bring a dramatic overhaul to Apple’s most affordable iPhone. 
A new supply chain report this week has so… [+1467 chars]",2024-12-09T13:18:51Z
26,Chance Miller,Rumor: iPhone 17 Air might not be as thin as Apple had initially hoped,"Apple is widely expected to unveil an all-new iPhone 17 Air next year that puts an emphasis on form over function. The new iPhone 17 Air has been described as “ultra-slim,” but a new supply chain report this week says Apple has hit a roadblock in making the d…",https://9to5mac.com/2024/11/11/rumor-iphone-17-air-might-not-be-as-thin-as-apple-had-intially-hoped/,"Apple is widely expected to unveil an all-new iPhone 17 Air next year that puts an emphasis on form over function. The new iPhone 17 Air has been described as ultra-slim, but a new supply chain repor… [+1765 chars]",2024-11-11T14:04:12Z
27,Joe Rossignol,Pro Display XDR 2 Expected to Feature Quantum-Dot Technology,"In a blog post this week, Display Supply Chain Consultants CEO Ross Young said that he expects Apple's next-generation Pro Display XDR to feature the same quantum-dot display technology adopted by the latest MacBook Pro models.





It is unclear if Young con…",https://www.macrumors.com/2024/11/19/pro-display-xdr-2-quantom-dot-rumor/,"In a blog post this week, Display Supply Chain Consultants CEO Ross Young said that he expects Apple's next-generation Pro Display XDR to feature the same quantum-dot display technology adopted by th… [+1712 chars]",2024-11-19T16:11:57Z
28,Tim Hardwick,"iPhone SE 4 Said to Feature 48MP Rear Lens, 12MP TrueDepth Camera","Apple's forthcoming iPhone SE 4 will feature a single 48-megapixel rear camera and a 12-megapixel TrueDepth camera on the front, according to details revealed in a new Korean supply chain report.





ET News reports that Korea-based LG Innotek is the main su…",https://www.macrumors.com/2024/12/09/iphone-se-4-camera-details-revealed/,"Apple's forthcoming iPhone SE 4 will feature a single 48-megapixel rear camera and a 12-megapixel TrueDepth camera on the front, according to details revealed in a new Korean supply chain report.
ET… [+1284 chars]",2024-12-09T12:48:44Z
29,Simon Sharwood,China encourages local orgs to seek alternatives to US silicon,"Which could be in short supply as Beijing bans rare earth exports
Four of China's top industry bodies have published advice suggesting members source fewer semiconductors from US silicon slingers, because supply chain issues caused by sanctions mean they are …",https://www.theregister.com/2024/12/05/china_stop_buying_us_chips_advice/,"Four of China's top industry bodies have published advice suggesting members source fewer semiconductors from US silicon slingers, because supply chain issues caused by sanctions mean they are ""no lo… [+2600 chars]",2024-12-05T05:37:59Z
30,Kyle Barr,The M4 MacBook Pro Might Be Hiding a Significant Screen Upgrade,"The M4 MacBook Pro models may be featuring quantum dot technology, though the jury is still out on whether these displays are truly better than before.",https://gizmodo.com/the-m4-macbook-pro-might-be-hiding-a-significant-screen-upgrade-2000524997,"If the rumors are true, the latest MacBook Pro 14 and Pro 16 models could hide a secret upgrade. The new MacBooks reportedly switched to quantum dot displays, a technology that practically every disp… [+3826 chars]",2024-11-15T15:02:10Z
31,jhart@insider.com (Jordan Hart),Apple's future product lineup is starting to come into focus,"Apple appears to be evolving its hardware lineup with new smart home devices, wearables, and more.",https://www.businessinsider.com/apple-future-product-lineup-starting-to-come-into-focus-2024-11,"Apple's possible future product lineup suggests that the giant is entering a new era.
Many devices are reportedly in the works at the tech giant, and many of them are very different from its golden … [+2344 chars]",2024-11-14T20:12:15Z
32,"Meghan Morris,Chris Johnston",Here's what analysts are saying about Nvidia earnings,"Nvidia beat forecasts again in its third-quarter results, but one analyst says investors are concerned about a possible slowdown in future growth.",https://www.businessinsider.com/nvidia-earnings-analyst-comment-revenue-profits-blackwell-chips-wedbush-2024-11,"Jensen Huang is CEO of Nvidia and one of the world's richest people.David Zalubowski/AP; Chelsea Jia Feng/BI
<ul><li>Nvidia beat forecasts again in its third-quarter results on Wednesday.</li><li>CE… [+3593 chars]",2024-11-21T13:13:56Z
33,Muslim Farooque,AI Giant Nvidia Braces for Potential $292 Billion Market Shock Post-Earnings,"Nvidia earnings could trigger an 8.5% move, implying a $292 billion market cap swing amid AI sector scrutiny",https://finance.yahoo.com/news/ai-giant-nvidia-braces-potential-162545611.html,"Chipmaker Nvidia (NASDAQ:NVDA) will be announcing its quarterly earnings Wednesday post-market, with options traders preparing for a big shift in its market capitalization. Implicit volatility, accor… [+1163 chars]",2024-11-19T16:25:45Z
34,Victoria Malloy and Video by Andrew D. Johnson,How Brazil Recycling Co-ops Are Helping Turn Plastic Waste Into Shoes,Sneaker brand Veja has teamed up with recycling waste workers in Brazil to breathe new life into plastic waste.,https://time.com/7198461/brazil-recycling-co-ops-helping-turn-plastic-waste-into-shoes-veja/,"In the searing heat at the ACAMTC recycling cooperative south of São Paulo, in Três Corações, Brazil, a group of recycling waste workers known as Catadores prepared bales of discarded plastic for tra… [+12085 chars]",2024-11-27T17:07:39Z
35,Elijah Nicholson-Messmer,25% tariff on imports? Consumers doomed?,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/25-percent-tariff-on-imports-consumers-doomed,President-elect Donald Trump’s plan to impose a 25% tariff on imports from Canada and Mexico has sent shockwaves through the auto industry. Automotive manufacturing facilities across the United State… [+6258 chars],2024-11-29T19:53:47Z
36,Elijah Nicholson-Messmer,Trump’s proposed tariffs could reshape the auto industry,"A 25% tariff on Canadian and Mexican imports could drive up car prices, disrupt supply chains, and strain automakers already grappling with industry-wide challenges.",https://www.autoblog.com/news/trumps-proposed-tariffs-could-reshape-the-auto-industry,President-elect Donald Trump’s plan to impose a 25% tariff on imports from Canada and Mexico has sent shockwaves through the auto industry. Automotive manufacturing facilities across the United State… [+6258 chars],2024-11-29T19:53:47Z
37,Dean Takahashi,Will Republicans continue to support subsidies for the chip industry? | PwC interview,The Chips & Science Act was a bipartisan law passed to give $52 billion to the U.S. semiconductor industry. Will Republicans stand behind it?,https://venturebeat.com/ai/will-republicans-continue-to-support-subsidies-for-the-chip-industry-pwc-interview/,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
The Chips &amp; Science Act was a bipartisan law passed to provide $52 … [+18765 chars]",2024-11-21T14:30:00Z
38,Ayelet Sheffey,"From clothes to computers, 6 things expected to get more expensive if Trump's trade plans are enacted",Crocs and American Eagle are two of the brands Bank of America predicted to see price hikes if Trump's tariff proposals are implemented.,https://www.businessinsider.com/how-trump-tariffs-will-impact-prices-technology-clothes-appliances-furniture-2024-11,"President-elect Donald Trump's tariff proposals are expected to increase prices on a range of goods.iStock; Rebecca Zisser/BI
<ul><li>President-elect Donald Trump proposed an up-to 60% tariff on imp… [+8751 chars]",2024-11-15T09:04:01Z
39,Dan Catchpole and Allison Lampert,"Exclusive-Boeing restarts 737 MAX production a month after strike ended, sources say","Boeing restarted production of its best-selling 737 MAX jetliner last week, about a month after the end of a seven-week strike by 33,000 factory workers...",https://ca.finance.yahoo.com/news/exclusive-boeing-restarts-737-max-042953153.html,"By Dan Catchpole and Allison Lampert
SEATTLE - Boeing restarted production of its best-selling 737 MAX jetliner last week, about a month after the end of a seven-week strike by 33,000 factory worker… [+1703 chars]",2024-12-10T04:29:53Z
40,Dezeen staff,Politecnico di Torino spotlights eight student architecture projects,Dezeen School Shows: a bike path which repurposes a railway to celebrate local food supply chains is included in Dezeen's latest school show by students at Politecnico di Torino. Read more,https://www.dezeen.com/2024/11/14/politecnico-di-torino-architecture-projects-dezeen-schoolshows/,"Dezeen School Shows: a bike path which repurposes a railway to celebrate local food supply chains is included in Dezeen's latest school show by students at Politecnico di Torino.
Also included is a … [+10075 chars]",2024-11-14T17:00:15Z
41,atecotzky@businessinsider.com (Alice Tecotzky),"Elon Musk said he will launch a leaderboard to track 'insanely dumb' government spending, and business leaders are weighing in",Elon Musk will co-lead the Department of Government Efficiency and has already started crowdsourcing suggestions for cuts online.,https://www.businessinsider.com/elon-musk-doge-leaderboard-federal-government-spending-trump-2024-11,"Elon Musk has officially landed the role as co-leader of the new Department of Government Efficiency, and he's already crowdsourcing for suggestions. President-elect Donald Trump announced on Tuesday… [+3117 chars]",2024-11-13T17:07:27Z
42,Bryan M. Wolfe,The Galaxy Z Fold 7 and Flip 7 are set to get significant display upgrades,Next year's Samsung foldable phones could feature bigger displays. How much bigger? Quite a lot!,https://www.digitaltrends.com/mobile/samsung-galaxy-z-fold-7-z-flip-7-set-to-get-significant-display-upgrades/,"Samsung’s 2025 lineup of foldable phones is expected to be released next summer, but news about them continues to emerge. The latest update is quite significant. According to display supply chain ind… [+2372 chars]",2024-12-03T15:40:10Z
43,Max Zahn,"Trump's proposed tariffs would raise prices for these products, experts say","“This will directly impact people’s pocketbooks,” one expert said.",https://abcnews.go.com/Business/trumps-proposed-tariffs-raise-prices-products-experts/story?id=115893557,"President-elect Donald Trump has promised a major escalation of the nations tariffs.
Trump has proposed tariffs of between 60% and 100% on Chinese goods, and a tax of between 10% and 20% on every pr… [+4871 chars]",2024-11-18T20:59:29Z
44,Emma Cosgrove,From hours to seconds: A short demo on parallel computing shows why Nvidia is the world's most valuable company,"Parallel computing is the fundamental concept that, along with advanced semiconductors, has ushered in the generative AI boom.",https://www.businessinsider.com/nvidia-gpus-cpus-parallel-computing-2024-11,"Nvidia CEO Jensen HuangChip Somodevilla/Getty Images
<ul><li>Parallel computing speeds up data crunching. Projects that took hours now take seconds.</li><li>It's the fundamental concept that, along … [+3344 chars]",2024-11-15T09:00:02Z
45,Chris Panella,Weak shipbuilding could be the US Navy's Achilles' heel in a war with China,"A hollowed out industrial base, which the Navy depends on, could spell trouble for the sea service in a high-end conflict in the Pacific.",https://www.businessinsider.com/us-shipbuilding-problems-could-be-navys-achilles-heel-china-war-2024-11,"The US Navy's shipbuilding muscles have atrophied, leaving it with a serious problem amid China's massive military buildup.Thiep Nguyen/US Navy
The US Navy faces critical shipbuilding problems that … [+12526 chars]",2024-11-17T09:00:02Z
46,Betsy Parks,Where Costco Rotisserie Chickens Really Come From,Costco's reasonably priced rotisserie chickens are one of the grocery chain's most popular items. We did some digging into where they're sourced.,https://www.thedailymeal.com/1710233/how-costco-raises-chickens-rotisserie/,"Production of Costco rotisserie chicken - Tada Images/Shutterstock
Whether you slice it up for meal prep, shred it for tacos, quesadillas, and salads, or just rip a drumstick off in the car before y… [+2349 chars]",2024-11-17T14:15:25Z
47,Taryn Plumb,2025: The year ‘invisible’ AI agents will integrate into enterprise hierarchies,"Ultimately, AI agents will be able to perceive (process and interpret data), plan, act (with or without a human in the loop), reflect, learn from feedback and improve over time.",https://venturebeat.com/ai/2025-the-year-invisible-ai-agents-will-integrate-into-enterprise-hierarchies/,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
In the enterprise of the future, human workers are expected to work clo… [+6975 chars]",2024-11-14T17:00:00Z
48,Nauman khan,Morgan Stanley Lifts Nvidia Target as Blackwell Product Sales Surge,Nvidia's Bullish Streak: Morgan Stanley Analysts Set New $160 Target,https://finance.yahoo.com/news/morgan-stanley-lifts-nvidia-target-163309318.html,"Morgan Stanley (MS, Financial) has raised its price target for Nvidia (NVDA, Financial) from $150 to $160, citing Nvidia's recent bullish performance and anticipated easing of supply-chain challenges… [+1307 chars]",2024-11-11T16:33:09Z
49,Rain Noe,Electric Cargo Bikes Made from Discarded Bike Frames,"These electric cargo bikes, by Arkansas-based Gnargo Bike Co., are made from discarded steel bike frames. ""After an environmentally friendly burn-off of existing finishes and oils, frames are fully sandblasted and brought back into our factory for quality che…",https://www.core77.com/posts/134563/Electric-Cargo-Bikes-Made-from-Discarded-Bike-Frames,"These electric cargo bikes, by Arkansas-based Gnargo Bike Co., are made from discarded steel bike frames.
""After an environmentally friendly burn-off of existing finishes and oils, frames are fully … [+1098 chars]",2024-12-05T16:00:00Z
50,Reuters,Starbucks faces disruptions following ransomware attack on software supplier,The coffee giant said that an outage at a third-party vendor has disrupted a back-end Starbucks process that enables employee scheduling and time tracking.  ...,https://finance.yahoo.com/news/starbucks-faces-disruptions-following-ransomware-201734823.html,"(Reuters) - Starbucks said the aftermath of a ransomware attack on a software supplier has been affecting its ability to pay baristas and manage their schedules, the company's spokesperson said on Mo… [+724 chars]",2024-11-25T20:17:34Z
51,Calculated Risk,"YoY Measures of Inflation: Services, Goods and Shelter",,https://www.blogger.com/comment/fullpage/post/10004977/7678712026410882889,"Here are a few measures of inflation:

The first graph is the one Fed Chair Powell had mentioned when services less rent of shelter was up around 8% year-over-year.  This declined, but is still eleva… [+1238 chars]",2024-11-13T13:52:00Z
52,,"TrendForce: the ASP of high-end AI chips from Nvidia and others is ~5x more than conventional memory chips, creating a winner-takes-all trend in the chip sector (June Yoon/Financial Times)","June Yoon / Financial Times:
TrendForce: the ASP of high-end AI chips from Nvidia and others is ~5x more than conventional memory chips, creating a winner-takes-all trend in the chip sector  —  If you can't beat it, join the US company's supply chain  —  Twen…",https://www.techmeme.com/241114/p1,"About This Page
This is a Techmeme archive page.
It shows how the site appeared at 4:10 AM ET, November 14, 2024.
The most current version of the site as always is available at our home page.
To … [+71 chars]",2024-11-14T05:50:01Z
53,info@thehackernews.com (The Hacker News),"Security Flaws in Popular ML Toolkits Enable Server Hijacks, Privilege Escalation","Cybersecurity researchers have uncovered nearly two dozen security flaws spanning 15 different machine learning (ML) related open-source projects.
These comprise vulnerabilities discovered both on the server- and client-side, software supply chain security fi…",https://thehackernews.com/2024/11/security-flaws-in-popular-ml-toolkits.html,"Cybersecurity researchers have uncovered nearly two dozen security flaws spanning 15 different machine learning (ML) related open-source projects.
These comprise vulnerabilities discovered both on t… [+3644 chars]",2024-11-11T10:11:00Z
54,info@thehackernews.com (The Hacker News),"XMLRPC npm Library Turns Malicious, Steals Data, Deploys Crypto Miner",Cybersecurity researchers have discovered a software supply chain attack that has remained active for over a year on the npm package registry by starting off as an innocuous library and later adding malicious code to steal sensitive data and mine cryptocurren…,https://thehackernews.com/2024/11/xmlrpc-npm-library-turns-malicious.html,Cybersecurity researchers have discovered a software supply chain attack that has remained active for over a year on the npm package registry by starting off as an innocuous library and later adding … [+3892 chars],2024-11-28T10:48:00Z
55,Samantha Wiley,Cook visits China to boost supply chain,"Tim Cook, Apple CEO, is currently in a discussion with China surrounding the global supply chain and to aid the country’s economy. Cook often visits China to improve the company’s relationship with China and government officials. The latest trip has the Apple…",https://www.ilounge.com/news/cook-visits-china-to-boost-supply-chain,"Tim Cook, Apple CEO, is currently in a discussion with China surrounding the global supply chain and to aid the country’s economy.
Cook often visits China to improve the company’s relationship with … [+770 chars]",2024-11-28T19:05:48Z
56,Ben Lovejoy,"Apple offered Indonesia $10M then $100M, but it now expects $1B within a week","Apple is known for playing hardball when it comes to negotiations, but it seems the Indonesian government is capable of giving as good as it gets.



The country banned the sale of the iPhone 16, saying the Cupertino company hadn’t invested enough in the loca…",https://9to5mac.com/2024/12/03/apple-offered-indonesia-10m-then-100m-but-it-now-expects-1b-within-a-week/,"Apple is known for playing hardball when it comes to negotiations, but it seems the Indonesian government is capable of giving as good as it gets.
The country banned the sale of the iPhone 16, sayin… [+2355 chars]",2024-12-03T14:19:48Z
